Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 6714410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6740010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6765610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6791210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6816810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6842410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6868010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6893610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6919210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6944810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6970410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6996010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7021610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7047210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7072810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7098410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7124010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 7149610000, A write address: 10, B  read address: 10
